instance,customer_num,routes_used_number,distance_all,execution_time,random_seed
R201,50,9,884.681,35.208,101
R201,25,4,476.428,11.935,101
R202,100,13,1303.85,138.288,101
R202,50,8,797.441,38.672,101
R202,25,4,434.244,12.874,101
R203,100,10,1114.19,172.86,101
R203,50,7,732.054,45.897,101
R203,25,4,414.679,13.916,101
R204,100,8,959.739,232.566,101
R204,50,3,612.616,60.846,101
R204,25,2,363.848,15.746,101
R205,100,11,1212.34,126.195,101
R205,50,8,780.087,35.614,101
R205,25,3,408.806,12.893,101
R206,100,9,1201.49,138.744,101
R206,50,6,797.636,38.116,101
R206,25,3,410.183,12.89,101
R207,100,8,1086.45,172.81,101
R207,50,6,650.085,45.747,101
R207,25,3,378.664,14.57,101
R208,100,10,1004.22,231.62,101
R208,50,6,622.352,59.617,101
R208,25,2,335.061,15.91,101
R209,100,11,1078.06,128.443,101
R209,50,7,698.69,35.91,101
R209,25,4,400.933,11.772,101
R210,100,10,1097.32,127.611,101
R210,50,7,722.721,36.19,101
R210,25,3,423.043,12.017,101
R211,100,9,1024.17,131.375,101
R211,50,7,665.096,35.989,101
R211,25,3,398.019,12.098,101
R101,100,22,1750.03,122.75,102
R101,50,12,1054.75,35.92,102
R101,25,7,618.33,11.978,102
R102,100,20,1664.1,135.512,102
R102,50,12,993.881,38.262,102
R102,25,7,552.426,12.997,102
R103,100,17,1454.01,185.713,102
R103,50,10,827.463,46.571,102
R103,25,6,472.224,14.714,102
R104,100,14,1268.69,228.681,102
R104,50,8,724.183,59.39,102
R104,25,4,423.176,16.669,102
R105,100,18,1519.23,123.308,102
R105,50,9,930.887,35.826,102
R105,25,6,531.804,12.51,102
R106,100,16,1429.44,135.18,102
R106,50,10,853.438,38.091,102
R106,25,5,480.806,12.926,102
R107,100,15,1388.66,171.207,102
R107,50,10,833.91,44.986,102
R107,25,5,450.42,14.236,102
R108,100,12,1165.31,223.082,102
R108,50,8,674.241,59.641,102
R108,25,4,398.771,16.366,102
R109,100,16,1382.24,125.013,102
R109,50,10,819.361,35.134,102
R109,25,5,442.625,12.073,102
R110,100,15,1367.85,129.064,102
R110,50,9,809.572,35.749,102
R110,25,5,451.161,13.023,102
R111,100,14,1294.97,129.685,102
R111,50,7,766.968,36.448,102
R111,25,5,428.586,11.954,102
